sample_id,rule_id,intent,utterance,vehicle_state,expected_outcome,sample_type,confused_with_intent,reviewed,notes,human_review
GOLD-R001-001,R001,open_door,M? c?a gh? lái giùm tôi.,"{""gear"":""P"",""speed"":0}",ALLOW,hard_negative,open_trunk,FALSE,intent th?t = open_door (rule R001),
GOLD-R001-002,R001,open_door,"M? c?a lái ra cho tôi, tôi ?? cái s?c ?i?n tho?i r?t trong ?ó.","{""gear"":""P"",""speed"":0}",ALLOW,hard_negative,open_chargeport,FALSE,intent th?t = open_door (rule R001),
GOLD-R001-003,R001,open_door,M? c?a gh? lái cho tôi.,"{""gear"":""P"",""speed"":0}",ALLOW,hard_negative,open_chargeport,FALSE,intent th?t = open_door (rule R001),
GOLD-R001-004,R001,open_door,"M? c?a lái cho tôi, tui l?y chìa khoá d? phòng trong h?c.","{""gear"":""P"",""speed"":0}",ALLOW,hard_negative,OPEN_BONNET,FALSE,intent th?t = open_door (rule R001),
GOLD-R001-005,R001,open_door,M? c?a lái.,"{""gear"":""P"",""speed"":0}",ALLOW,positive_branch,,FALSE,,
GOLD-R001-006,R001,open_door,"? mà thôi, ??i xíu ?ã, tôi quên cái túi trong xe, m? c?a lái ra cho tôi l?y v?i.","{""gear"":""P"",""speed"":0}",ALLOW,positive_branch,,FALSE,,
GOLD-R001-007,R001,open_door,M? c?a lái h? t? nhé.,"{""gear"":""P"",""speed"":0}",ALLOW,positive_branch,,FALSE,,
GOLD-R001-008,R001,open_door,"Thôi m? c?a lái ra ?i, tui xu?ng mua ly cà phê cái ?ã.","{""gear"":""P"",""speed"":0}",ALLOW,positive_branch,,FALSE,,
GOLD-R001-009,R001,open_door,M? c?a bên ni cho tui v?i.,"{""gear"":""P"",""speed"":0}",ALLOW,positive_branch,,FALSE,,
GOLD-R001-010,R001,open_door,"M? c?a bên tài x? ra giùm, tôi l?y ?? r?i vào li?n.","{""gear"":""P"",""speed"":0}",ALLOW,positive_branch,,FALSE,,
GOLD-R001-011,R001,open_door,C?a lái m? ra ???c không r?a?,"{""gear"":""P"",""speed"":0}",ALLOW,positive_branch,,FALSE,,
GOLD-R001-012,R001,open_door,"Tr?i nóng quá, v?i l?i m? giúp tôi c?a bên gh? lái cái.","{""gear"":""P"",""speed"":0}",ALLOW,positive_branch,,FALSE,,
GOLD-R001-013,R001,open_door,Ê m? c?a tài l? lên nè.,"{""gear"":""P"",""speed"":0}",ALLOW,positive_branch,,FALSE,,
GOLD-R001-014,R001,open_door,"?? r?i ?úng không, m? c?a lái ra cho tui xu?ng cái.","{""gear"":""P"",""speed"":0}",ALLOW,positive_branch,,FALSE,,
GOLD-R001-015,R001,open_door,M? c?a lái ra h? cái ?ã.,"{""gear"":""P"",""speed"":0}",ALLOW,positive_branch,,FALSE,,
GOLD-R001-016,R001,open_door,"M? h? cái c?a lái, tôi ra ngoài nghe ?i?n tho?i chút.","{""gear"":""P"",""speed"":0}",ALLOW,positive_branch,,FALSE,,
GOLD-R001-017,R001,open_door,"Này, m? c?a lái cho tôi v?i.","{""gear"":""P"",""speed"":0}",ALLOW,positive_branch,,FALSE,,
GOLD-R001-018,R001,open_door,B?n m? giúp tôi c?a bên gh? lái ???c không?,"{""gear"":""P"",""speed"":0}",ALLOW,positive_branch,,FALSE,,
GOLD-R001-019,R001,open_door,M? c?a bên tài x? dùm cái coi.,"{""gear"":""P"",""speed"":0}",ALLOW,positive_branch,,FALSE,,
GOLD-R001-020,R001,open_door,"Cho tôi xu?ng xe cái, m? c?a lái ra.","{""gear"":""P"",""speed"":0}",ALLOW,positive_branch,,FALSE,,
GOLD-R002-001,R002,open_door,"M? c?a cho tôi v?i, xe ??ng yên mà.","{""gear"":""R"",""speed"":9}",BLOCK_UNSAFE,hard_negative,open_chargeport,FALSE,intent th?t = open_door (rule R002),
GOLD-R002-002,R002,open_door,"M? c?a lái cho tôi, xe ch?y có nhanh gì ?âu.","{""gear"":""N"",""speed"":81}",BLOCK_UNSAFE,hard_negative,unlock_doors,FALSE,intent th?t = open_door (rule R002),
GOLD-R002-003,R002,open_door,"M? c?a lái cho tôi, xe ??ng yên mà.","{""gear"":""D"",""speed"":80}",BLOCK_UNSAFE,hard_negative,open_chargeport,FALSE,intent th?t = open_door (rule R002),
GOLD-R002-004,R002,open_door,"M? c?a cho tôi, xe tôi d?ng h?n r?i mà.","{""gear"":""R"",""speed"":0}",BLOCK_UNSAFE,hard_negative,unlock_doors,FALSE,intent th?t = open_door (rule R002),
GOLD-R002-005,R002,open_door,M? c?a lái ?i.,"{""gear"":""R"",""speed"":4}",BLOCK_UNSAFE,positive_branch,,FALSE,,
GOLD-R002-006,R002,open_door,"M? c?a bên tài x? ra giùm, xe ?ang ch?y s? N mà k? ?i.","{""gear"":""R"",""speed"":79}",BLOCK_UNSAFE,positive_branch,,FALSE,,
GOLD-R002-007,R002,open_door,M? c?a lái ra cái.,"{""gear"":""R"",""speed"":41}",BLOCK_UNSAFE,positive_branch,,FALSE,,
GOLD-R002-008,R002,open_door,"Này, m? c?a lái ra cho tôi v?i, tôi có ?ang di chuy?n ?âu.","{""gear"":""R"",""speed"":40}",BLOCK_UNSAFE,positive_branch,,FALSE,,
GOLD-R002-009,R002,open_door,M? giúp tôi c?a bên gh? lái.,"{""gear"":""R"",""speed"":3}",BLOCK_UNSAFE,positive_branch,,FALSE,,
GOLD-R002-010,R002,open_door,"M? c?a bên tài x? ra h? t? v?i, ?ang ch?y ch?m thôi mà.","{""gear"":""R"",""speed"":39}",BLOCK_UNSAFE,positive_branch,,FALSE,,
GOLD-R002-011,R002,open_door,M? c?a tài x? ra dùm cái coi.,"{""gear"":""R"",""speed"":2}",BLOCK_UNSAFE,positive_branch,,FALSE,,
